SCENARIO,Date Code,Codex,BFV,Army,Matt,Steve,HISTORICAL WINNER
Utica: Rebel Camp - 241 BC,-241.0,TW1,6,Rebel Army,6,1,Rebel Army
,,,,Carthage,6,3,
Battle of Utica - 240 BC,-240.2,TW2,5,Rebel Army,4,5,Carthage
,,,,Carthage,1,5,
Hippacritae - 240 BC,-240.0,TW3,5,Rebel Army,5,2,Carthage
,,,,Carthage,5,3,
Hannibal's Camp - 238 BC,-238.2,TW4,5,Rebel Army,3,5,Rebel Army
,,,,Carthage,2,5,
Leptis - 238 BC,-238.0,TW5,6,Rebel Army,5,6,Carthage
,,,,Carthage,2,6,
